Requestor_ID	Benson	Bradley	Grubb	Ludlow	Arrival	Departure	Choice_Number	Spots_ideal	Spots_min	Hut_granted	Spots_granted	Status	Lottery_value	Confirmed_How	Creation_date	Last_mod_date	hut_count_flexibility	saturday_week_number
32095336	FALSE	TRUE	FALSE	FALSE	2027-03-12	2027-03-13	1	4	4		0	pending	0				1	2027-03-13
32177177	FALSE	TRUE	FALSE	FALSE	2027-03-27	2027-03-29	1	15	15		0	pending	0				1	2027-03-27
32203336	TRUE	FALSE	FALSE	FALSE	2027-02-19	2027-02-21	1	7	7		0	pending	0				1	2027-02-20
32203336	FALSE	FALSE	TRUE	FALSE	2027-03-24	2027-03-26	1	2	2		0	pending	0				1	2027-03-27
32222463	TRUE	FALSE	FALSE	FALSE	2027-04-16	2027-04-18	1	6	6		0	pending	0				1	2027-04-17
32223105	FALSE	FALSE	TRUE	FALSE	2027-02-26	2027-03-01	1	15	15		0	pending	0				1	2027-02-27
32241505	FALSE	FALSE	TRUE	FALSE	2026-12-31	2027-01-02	4	6	4		0	pending	0				1	2027-01-02
33131427	TRUE	TRUE	TRUE	TRUE	2027-03-06	2027-03-07	1	12	12		0	pending	0				4	2027-03-06
33131431	TRUE	FALSE	FALSE	FALSE	2027-02-20	2027-02-22	1	10	10		0	pending	0				1	2027-02-20
33182627	FALSE	FALSE	FALSE	TRUE	2027-03-11	2027-03-14	1	15	15		0	pending	0				1	2027-03-13
33701021	FALSE	TRUE	FALSE	FALSE	2027-01-18	2027-01-20	1	6	6		0	pending	0				1	2027-01-16
33701036	FALSE	TRUE	FALSE	FALSE	2027-03-05	2027-03-07	2	6	6		0	pending	0				1	2027-03-06
33701501	TRUE	FALSE	FALSE	FALSE	2027-02-28	2027-03-02	1	2	2		0	pending	0				1	2027-02-27
33721337	FALSE	FALSE	FALSE	TRUE	2027-02-26	2027-02-28	6	15	15		0	pending	0				1	2027-02-27
34226706	FALSE	FALSE	FALSE	TRUE	2027-02-18	2027-02-22	4	15	11		0	pending	0				1	2027-02-20
34654536	FALSE	TRUE	FALSE	FALSE	2027-04-09	2027-04-11	1	3	3		0	pending	0				1	2027-04-10
34655911	TRUE	TRUE	TRUE	TRUE	2027-01-20	2027-01-24	1	4	4		0	pending	0				4	2027-01-23
34680471	FALSE	FALSE	TRUE	FALSE	2027-02-20	2027-02-22	1	10	10		0	pending	0				1	2027-02-20
34705185	FALSE	FALSE	TRUE	FALSE	2027-04-02	2027-04-04	1	8	8		0	pending	0				1	2027-04-03
34706538	TRUE	FALSE	FALSE	FALSE	2027-02-13	2027-02-15	4	15	11		0	pending	0				1	2027-02-13
34737193	FALSE	FALSE	TRUE	FALSE	2027-03-07	2027-03-09	1	7	7		0	pending	0				1	2027-03-06
34737503	FALSE	TRUE	FALSE	FALSE	2027-04-02	2027-04-04	1	4	4		0	pending	0				1	2027-04-03
34769183	FALSE	FALSE	FALSE	TRUE	2027-03-26	2027-03-28	1	6	6		0	pending	0				1	2027-03-27
34808935	FALSE	TRUE	FALSE	FALSE	2027-04-03	2027-04-05	1	9	9		0	pending	0				1	2027-04-03
35210793	TRUE	FALSE	FALSE	FALSE	2027-01-29	2027-01-31	1	6	6		0	pending	0				1	2027-01-30
35244304	FALSE	FALSE	TRUE	FALSE	2027-04-09	2027-04-11	1	15	15		0	pending	0				1	2027-04-10
35261984	FALSE	FALSE	TRUE	FALSE	2027-02-13	2027-02-16	1	15	15		0	pending	0				1	2027-02-13
35275115	FALSE	TRUE	FALSE	FALSE	2027-02-13	2027-02-15	1	15	15		0	pending	0				1	2027-02-13
35275980	TRUE	FALSE	FALSE	FALSE	2027-01-01	2027-01-03	1	4	4		0	pending	0				1	2027-01-02
35281151	FALSE	FALSE	TRUE	FALSE	2027-01-29	2027-01-31	1	15	15		0	pending	0				1	2027-01-30
35294552	FALSE	TRUE	FALSE	FALSE	2027-04-02	2027-04-04	1	2	2		0	pending	0				1	2027-04-03
35768949	FALSE	TRUE	FALSE	FALSE	2027-03-05	2027-03-07	1	8	8		0	pending	0				1	2027-03-06
36702536	TRUE	FALSE	FALSE	FALSE	2027-02-21	2027-02-23	1	4	4		0	pending	0				1	2027-02-20
36715494	TRUE	FALSE	FALSE	FALSE	2027-04-16	2027-04-17	1	6	6		0	pending	0				1	2027-04-17
36715494	FALSE	TRUE	FALSE	FALSE	2027-04-17	2027-04-19	1	15	15		0	pending	0				1	2027-04-17
36779497	FALSE	FALSE	TRUE	FALSE	2027-03-05	2027-03-07	1	15	15		0	pending	0				1	2027-03-06
36792262	TRUE	FALSE	FALSE	FALSE	2027-03-26	2027-03-28	4	15	15		0	pending	0				1	2027-03-27
36811113	FALSE	TRUE	FALSE	FALSE	2027-03-19	2027-03-21	1	8	8		0	pending	0				1	2027-03-20
36829985	FALSE	FALSE	FALSE	TRUE	2027-03-19	2027-03-21	2	9	9		0	pending	0				1	2027-03-20
37290782	FALSE	FALSE	TRUE	FALSE	2027-01-11	2027-01-14	1	15	15		0	pending	0				1	2027-01-09
37726952	FALSE	TRUE	FALSE	FALSE	2027-03-14	2027-03-16	1	3	3		0	pending	0				1	2027-03-13
37777504	FALSE	FALSE	TRUE	FALSE	2027-02-20	2027-02-21	1	4	4		0	pending	0				1	2027-02-20
37815752	FALSE	FALSE	TRUE	FALSE	2026-12-18	2026-12-20	1	4	4		0	pending	0				1	2026-12-19
37816949	TRUE	FALSE	FALSE	FALSE	2027-03-02	2027-03-04	1	6	6		0	pending	0				1	2027-03-06
37834786	FALSE	TRUE	FALSE	FALSE	2027-01-29	2027-01-31	1	15	11		0	pending	0				1	2027-01-30
37841836	TRUE	TRUE	TRUE	TRUE	2027-03-19	2027-03-21	1	6	4		0	pending	0				4	2027-03-20
37847586	TRUE	FALSE	FALSE	FALSE	2027-03-19	2027-03-21	1	5	4		0	pending	0				1	2027-03-20
38329497	FALSE	FALSE	TRUE	FALSE	2027-01-16	2027-01-18	1	3	3		0	pending	0				1	2027-01-16
38777112	FALSE	FALSE	TRUE	FALSE	2027-03-26	2027-03-28	5	6	4		0	pending	0				1	2027-03-27
38833183	FALSE	TRUE	FALSE	FALSE	2027-02-26	2027-02-28	1	15	15		0	pending	0				1	2027-02-27
39288456	FALSE	TRUE	FALSE	FALSE	2027-02-19	2027-02-22	1	15	15		0	pending	0				1	2027-02-20
39800422	TRUE	FALSE	FALSE	FALSE	2027-02-19	2027-02-21	1	5	5		0	pending	0				1	2027-02-20
39800454	FALSE	FALSE	TRUE	FALSE	2027-03-18	2027-03-19	1	15	15		0	pending	0				1	2027-03-20
40395911	FALSE	FALSE	TRUE	FALSE	2027-03-12	2027-03-14	4	15	11		0	pending	0				1	2027-03-13
